cod_comuna,comuna,categoria,minutos
13130,San Miguel,salud,4.25
13130,San Miguel,educacion,5.216666666666667
13130,San Miguel,supermercados,12.25
13130,San Miguel,areas_verdes,7.916666666666667
13118,Macul,salud,8.85
13118,Macul,educacion,5.716666666666667
13118,Macul,supermercados,13.233333333333333
13118,Macul,areas_verdes,2.6166666666666667
13119,Maipú,salud,25.55
13119,Maipú,educacion,19.9
13119,Maipú,supermercados,18.616666666666667
13119,Maipú,areas_verdes,31.0
13123,Providencia,salud,3.333333333333333
13123,Providencia,educacion,4.716666666666667
13123,Providencia,supermercados,7.183333333333334
13123,Providencia,areas_verdes,6.083333333333333
13131,San Ramón,salud,4.783333333333333
13131,San Ramón,educacion,5.533333333333333
13131,San Ramón,supermercados,9.466666666666669
13131,San Ramón,areas_verdes,4.083333333333333
13120,Ñuñoa,salud,4.833333333333333
13120,Ñuñoa,educacion,1.8666666666666667
13120,Ñuñoa,supermercados,9.05
13120,Ñuñoa,areas_verdes,5.183333333333334
13603,Isla de Maipo,salud,62.81666666666667
13603,Isla de Maipo,educacion,86.9
13603,Isla de Maipo,supermercados,151.1
13603,Isla de Maipo,areas_verdes,56.18333333333333
13601,Talagante,salud,71.41666666666667
13601,Talagante,educacion,41.66666666666666
13601,Talagante,supermercados,72.38333333333334
13601,Talagante,areas_verdes,76.86666666666666
13102,Cerrillos,salud,6.9
13102,Cerrillos,educacion,3.6666666666666665
13102,Cerrillos,supermercados,24.916666666666668
13102,Cerrillos,areas_verdes,3.4166666666666665
13113,La Reina,salud,12.433333333333334
13113,La Reina,educacion,12.433333333333334
13113,La Reina,supermercados,12.65
13113,La Reina,areas_verdes,3.95
13302,Lampa,salud,1.2833333333333334
13302,Lampa,educacion,4.716666666666667
13302,Lampa,supermercados,26.166666666666668
13302,Lampa,areas_verdes,8.583333333333334
13202,Pirque,salud,77.68333333333334
13202,Pirque,educacion,71.46666666666667
13202,Pirque,supermercados,186.41666666666663
13202,Pirque,areas_verdes,207.35
13105,El Bosque,salud,2.5166666666666666
13105,El Bosque,educacion,1.2
13105,El Bosque,supermercados,19.23333333333333
13105,El Bosque,areas_verdes,3.716666666666667
13108,Independencia,salud,9.316666666666666
13108,Independencia,educacion,5.516666666666667
13108,Independencia,supermercados,3.05
13108,Independencia,areas_verdes,3.65
13403,Calera de Tango,salud,12.166666666666666
13403,Calera de Tango,educacion,12.45
13403,Calera de Tango,supermercados,17.316666666666666
13403,Calera de Tango,areas_verdes,17.383333333333333
13117,Lo Prado,salud,12.25
13117,Lo Prado,educacion,5.933333333333334
13117,Lo Prado,supermercados,5.333333333333333
13117,Lo Prado,areas_verdes,0.9833333333333332
13301,Colina,salud,
13301,Colina,educacion,
13301,Colina,supermercados,
13301,Colina,areas_verdes,
13127,Recoleta,salud,8.866666666666667
13127,Recoleta,educacion,5.883333333333334
13127,Recoleta,supermercados,4.766666666666667
13127,Recoleta,areas_verdes,4.916666666666667
13402,Buin,salud,17.866666666666667
13402,Buin,educacion,15.966666666666669
13402,Buin,supermercados,184.9
13402,Buin,areas_verdes,16.566666666666666
13128,Renca,salud,17.6
13128,Renca,educacion,1.35
13128,Renca,supermercados,16.533333333333335
13128,Renca,areas_verdes,1.65
13124,Pudahuel,salud,47.016666666666666
13124,Pudahuel,educacion,32.4
13124,Pudahuel,supermercados,66.9
13124,Pudahuel,areas_verdes,104.81666666666666
13107,Huechuraba,salud,9.083333333333334
13107,Huechuraba,educacion,8.883333333333333
13107,Huechuraba,supermercados,30.83333333333333
13107,Huechuraba,areas_verdes,5.033333333333333
13501,Melipilla,salud,13.85
13501,Melipilla,educacion,48.28333333333333
13501,Melipilla,supermercados,
13501,Melipilla,areas_verdes,
13504,María Pinto,salud,32.083333333333336
13504,María Pinto,educacion,33.833333333333336
13504,María Pinto,supermercados,21.466666666666665
13504,María Pinto,areas_verdes,140.95
13112,La Pintana,salud,3.65
13112,La Pintana,educacion,16.05
13112,La Pintana,supermercados,13.1
13112,La Pintana,areas_verdes,7.533333333333333
13126,Quinta Normal,salud,14.233333333333333
13126,Quinta Normal,educacion,1.8833333333333333
13126,Quinta Normal,supermercados,5.033333333333333
13126,Quinta Normal,areas_verdes,3.25
13111,La Granja,salud,13.35
13111,La Granja,educacion,3.35
13111,La Granja,supermercados,23.383333333333333
13111,La Granja,areas_verdes,1.0833333333333333
13201,Puente Alto,salud,12.9
13201,Puente Alto,educacion,7.383333333333334
13201,Puente Alto,supermercados,3.1666666666666665
