Capa,Registros,Tipo,CRS
areas_verdes,7508,MultiPolygon,EPSG:32719
companias_bomberos,142,Point,EPSG:32719
comunas_rm_censo,52,Polygon,EPSG:32719
cuarteles_carabineros,128,Point,EPSG:32719
establecimientos_educacion,2918,Point,EPSG:32719
establecimientos_educacion_superior,526,Point,EPSG:32719
establecimientos_salud,1027,Point,EPSG:32719
ferias_libres,370,MultiLineString,EPSG:32719
infraestructura_deportiva,4896,Point,EPSG:32719
municipios,52,Point,EPSG:32719
osm_almacenes_barrio,2038,Polygon,EPSG:32719
osm_bancos,710,Polygon,EPSG:32719
osm_bencineras,549,Polygon,EPSG:32719
osm_estadios,41,Polygon,EPSG:32719
osm_iglesias,1028,Polygon,EPSG:32719
osm_malls,144,MultiPolygon,EPSG:32719
osm_museos,100,Polygon,EPSG:32719
osm_supermercados,546,Polygon,EPSG:32719
paradas_metro_tren,35,Point,EPSG:32719
paradas_micro,12961,Point,EPSG:32719
