Código comuna,Comuna,Población censada,Hombres,Mujeres
13101,Santiago,438856,223237,215619
13102,Cerrillos,85041,41216,43825
13103,Cerro Navia,127250,62329,64921
13104,Conchalí,121587,59122,62465
13105,El Bosque,155257,75720,79537
13106,Estación Central,181049,88630,92419
13107,Huechuraba,101808,49479,52329
13108,Independencia,116943,56916,60027
13109,La Cisterna,103157,49154,54003
13110,La Florida,374836,178461,196375
13111,La Granja,112022,54758,57264
13112,La Pintana,175421,85240,90181
13113,La Reina,89870,42260,47610
13114,Las Condes,296134,137984,158150
13115,Lo Barnechea,112620,53609,59011
13116,Lo Espejo,87295,43095,44200
13117,Lo Prado,91290,44300,46990
13118,Macul,123800,58479,65321
13119,Maipú,503635,240903,262732
13120,Ñuñoa,241467,111613,129854
13121,Pedro Aguirre Cerda,96062,47073,48989
13122,Peñalolén,236478,114260,122218
13123,Providencia,143974,67329,76645
13124,Pudahuel,227820,109673,118147
13125,Quilicura,205624,99649,105975
13126,Quinta Normal,129351,63130,66221
13127,Recoleta,154615,76020,78595
13128,Renca,143622,69985,73637
13129,San Joaquín,95602,45983,49619
13130,San Miguel,150829,71229,79600
13131,San Ramón,76002,37417,38585
13132,Vitacura,86420,39914,46506
13201,Puente Alto,568086,273928,294158
13202,Pirque,29060,14399,14661
13203,San José de Maipo,17441,8674,8767
13301,Colina,173293,86925,86368
13302,Lampa,145160,72328,72832
13303,Tiltil,19742,9940,9802
13401,San Bernardo,306371,148696,157675
13402,Buin,116969,56564,60405
13403,Calera de Tango,25491,12607,12884
13404,Paine,78828,38873,39955
13501,Melipilla,136325,66759,69566
13502,Alhué,7768,3863,3905
13503,Curacaví,35165,17226,17939
13504,María Pinto,15352,7559,7793
13505,San Pedro,11108,5696,5412
13601,Talagante,76429,37488,38941
13602,El Monte,37497,18347,19150
13603,Isla de Maipo,39274,19401,19873
13604,Padre Hurtado,81243,39781,41462
13605,Peñaflor,94402,45612,48790
